country_or_area,year,comm_code,commodity,flow,trade_usd,weight_kg,quantity_name,quantity,category
Australia,2016,10111,"Horses, live pure-bred breeding",Export,128577553,900450.0,Number of items,1882.0,01_live_animals
Australia,2016,10119,"Horses, live except pure-bred breeding",Re-Import,4928989,47240.0,Number of items,104.0,01_live_animals
Australia,2016,10119,"Horses, live except pure-bred breeding",Export,11812782,153587.0,Number of items,276.0,01_live_animals
Australia,2016,10119,"Horses, live except pure-bred breeding",Import,90430302,1082493.0,Number of items,2073.0,01_live_animals
Australia,2016,10120,"Asses, mules and hinnies, live",Export,58473,5805.0,Number of items,416.0,01_live_animals
Australia,2016,10120,"Asses, mules and hinnies, live",Import,5221,1000.0,Number of items,2.0,01_live_animals
Australia,2016,10210,"Bovine animals, live pure-bred breeding",Export,138293019,35071238.0,Number of items,116088.0,01_live_animals
Australia,2016,10290,"Bovine animals, live, except pure-bred breeding",Export,947455270,356789795.0,Number of items,1036209.0,01_live_animals
Australia,2016,10310,"Swine, live pure-bred breeding",Export,39434,664.0,Number of items,24.0,01_live_animals
Australia,2016,10410,"Sheep, live",Export,162261760,87199485.0,Number of items,1870412.0,01_live_animals
Australia,2016,10410,"Sheep, live",Import,137397,16384.0,Number of items,170.0,01_live_animals
Australia,2016,10420,"Goats, live",Export,5951870,2116875.0,Number of items,54703.0,01_live_animals
Australia,2016,10511,"Fowls, live domestic < 185 grams",Export,1532654,14040.0,Number of items,215968.0,01_live_animals
Australia,2016,10600,"Animals, live, except farm animals",Re-Import,5183,84.0,Number of items,3.0,01_live_animals
Australia,2016,10600,"Animals, live, except farm animals",Export,2853075,70647.0,Number of items,43944.0,01_live_animals
Australia,2016,10600,"Animals, live, except farm animals",Import,555938,3499.0,Number of items,1811.0,01_live_animals
Australia,2015,10111,"Horses, live pure-bred breeding",Re-Import,31259,2200.0,Number of items,5.0,01_live_animals
Australia,2015,10111,"Horses, live pure-bred breeding",Export,116036512,982879.0,Number of items,2493.0,01_live_animals
Australia,2015,10111,"Horses, live pure-bred breeding",Import,16242005,84535.0,Number of items,183.0,01_live_animals
